id,date,happy
1392,9/27/2019 18:57,0
1393,9/27/2019 18:57,0
1394,9/27/2019 18:57,1
1395,9/27/2019 18:57,0
1396,9/27/2019 18:57,1
1397,9/27/2019 18:57,0
1398,9/27/2019 18:57,0
1399,9/27/2019 18:57,1
1400,9/27/2019 18:57,1
1401,9/27/2019 18:57,0
1402,9/27/2019 18:57,0
1403,9/27/2019 18:57,1
1404,9/27/2019 18:57,0
1405,9/27/2019 18:57,0
1406,9/27/2019 18:57,0
1407,9/27/2019 18:57,0
1408,9/27/2019 18:57,0
1409,9/27/2019 18:57,0
1410,9/27/2019 18:57,0
1411,9/27/2019 18:57,1
1412,9/27/2019 18:57,1
1413,9/27/2019 18:57,0
1414,9/27/2019 18:57,0
1415,9/27/2019 18:57,0
1416,9/27/2019 18:57,0
1417,9/27/2019 18:57,0
1418,9/27/2019 18:57,0
1419,9/27/2019 18:57,0
1420,9/27/2019 18:57,0
1421,9/27/2019 18:57,0
1422,9/27/2019 18:57,0
1423,9/27/2019 18:57,0
1424,9/27/2019 18:57,0
1425,9/27/2019 18:57,0
1426,9/27/2019 18:58,1
1427,9/27/2019 18:58,0
1428,9/27/2019 18:58,1
1429,9/27/2019 18:58,1
1430,9/27/2019 18:58,0
1431,9/27/2019 18:58,1
1432,9/27/2019 18:58,0
1433,9/27/2019 18:58,0
1434,9/27/2019 18:58,0
1435,9/27/2019 18:58,0
1436,9/27/2019 18:58,0
1437,9/27/2019 18:58,0
1438,9/27/2019 18:58,0
1439,9/27/2019 18:58,0
1440,9/27/2019 18:58,1
1441,9/27/2019 18:58,0
1442,9/27/2019 18:58,0
1443,9/27/2019 18:58,0
1444,9/27/2019 18:58,0
1445,9/27/2019 18:58,0
1446,9/27/2019 18:59,0
1447,9/27/2019 18:59,0
1448,9/27/2019 18:59,0
1449,9/27/2019 18:59,0
1450,9/27/2019 18:59,0
1451,9/27/2019 18:59,0
1452,9/27/2019 18:59,0
1453,9/27/2019 18:59,0
1454,9/27/2019 18:59,0
1455,9/27/2019 18:59,0
